领域	开发模块	职责/开发内容	当前状态	文档优先级	文档编写阶段	排期	主要缺口/备注
岛屿大地图	工具系统	斧、镐、锄等工具选择、效率及实际使用完成事件	基础可用	P1	阶段2：大地图核心	07/31-08/06	说明工具选择不等于完成使用
岛屿大地图	背包与快捷栏	持久物品、堆叠、快捷栏、物品选择和使用	已实现	P0	阶段2：大地图核心	07/31-08/06	与战斗物品库存严格分离
岛屿大地图	建造系统	建筑预览、占地校验、消耗、放置、拆除和持久化	已实现	P0	阶段3：经营成长	08/07-08/13	补失败回滚与地图占用规则
岛屿大地图	蓝图系统	蓝图解锁、建造入口、材料需求和可建造内容	已实现	P1	阶段3：经营成长	08/07-08/13	补解锁来源和配置字段说明
岛屿大地图	农田系统	开垦、播种、生长、日历推进、收获和地块状态	部分实现	P0	阶段3：经营成长	08/07-08/13	长期生长、跨日和离线规则仍需完善
岛屿大地图	采矿系统	矿点、工具条件、产出、刷新和地图状态	基础可用	P1	阶段3：经营成长	08/07-08/13	补资源刷新周期与配置规范
岛屿大地图	生产与收入	建筑生产、定时结算、资源产出和经营收益	基础可用	P0	阶段3：经营成长	08/07-08/13	补离线结算和上限规则
岛屿大地图	日历与时间	日期推进、跨日通知、农作物和经营系统时间驱动	已实现	P0	阶段3：经营成长	08/07-08/13	补暂停、倍速和离线时间边界
岛屿大地图	科技系统	科技解锁、前置条件、成本、效果和UI展示	已实现	P1	阶段3：经营成长	08/07-08/13	补效果落地与配置校验
岛屿大地图	任务系统	任务接取、条件监听、进度、完成、奖励和追踪UI	已实现	P0	阶段3：经营成长	08/07-08/13	补事件清单和存档恢复
岛屿大地图	剧情系统	剧情节点、对话、条件触发、事件执行和任务联动	部分实现	P0	阶段3：经营成长	08/07-08/13	DialogManager和EventTriggerSystem仍有占位
岛屿大地图	经营管理UI	资源、建筑、生产、科技、任务、日历等管理面板	基础可用	P1	阶段3：经营成长	08/07-08/13	补页面入口与数据刷新时机
岛屿大地图	工人系统	工人招募、分配、工作状态、效率和离线生产	待开发	P2	阶段3：经营成长	08/07-08/13	Workers目录目前为空
岛屿大地图	世界小地图与标记	地图缩略、玩家位置、资源建筑任务标记和点击导航	待开发	P2	阶段3：经营成长	08/07-08/13	当前为规划项
塔防战场	战场入口与地图加载	从经营UI进入指定关卡并加载Battle Map运行时	已实现	P0	阶段4：塔防战场	08/14-08/20	默认入口当前使用地图配置30950001
塔防战场	战斗流程与状态	准备、战斗、暂停、胜利、失败和结算状态切换	已实现	P0	阶段4：塔防战场	08/14-08/20	补状态进入退出副作用
塔防战场	基地与胜负条件	基地生命、敌人到达伤害、胜负判断和结束锁定	已实现	P0	阶段4：塔防战场	08/14-08/20	补多基地或特殊条件扩展点
塔防战场	波次系统	波次配置、刷怪队列、间隔、提前开始和完成判定	已实现	P0	阶段4：塔防战场	08/14-08/20	补异常配置和空波处理
塔防战场	敌人系统	敌人生成、移动、属性、受击、死亡和资源掉落	已实现	P0	阶段4：塔防战场	08/14-08/20	NPC配置仍引用缺失的Pirate_Male预制体
塔防战场	塔建造系统	塔卡牌选择、建造点校验、费用扣除和生成	已实现	P0	阶段4：塔防战场	08/14-08/20	补输入取消与失败退款规则
塔防战场	塔升级与出售	升级路线、费用、属性变化、出售退款和移除	已实现	P1	阶段4：塔防战场	08/14-08/20	补升级树和退款公式
塔防战场	索敌与攻击	目标筛选、攻击范围、攻击间隔、命中和伤害结算	已实现	P0	阶段4：塔防战场	08/14-08/20	补索敌策略和事件时序
塔防战场	技能与Ability	Ability核心、塔防适配器、技能配置、效果和生命周期	基础可用	P0	阶段4：塔防战场	08/14-08/20	运行时仍来自skill表，Ability表尚未正式接线
塔防战场	局内物品系统	BattleItemManager、使用条件、数量和局内效果	基础设施已实现	P1	阶段4：塔防战场	08/14-08/20	当前物品配置useScope均为0，无可实际使用的战斗物品
塔防战场	局内资源与货币	建塔货币、击杀收益、消耗和UI同步	已实现	P0	阶段4：塔防战场	08/14-08/20	补来源去向和数值事件
塔防战场	战斗表现与音频	特效、投射物、命中表现、音效和对象生命周期	部分实现	P1	阶段4：塔防战场	08/14-08/20	Ability正式音频、投射物跟随和回收需完善
塔防战场	战斗UI框架	BattlePage及Top、Build、Item、Info、Skill、Control等嵌入面板	已实现	P0	阶段4：塔防战场	08/14-08/20	补嵌入面板生命周期和刷新契约
塔防战场	塔卡牌与提示	可复用塔卡牌、选择状态、费用展示和Tooltip数据	已实现	P1	阶段4：塔防战场	08/14-08/20	补不可用原因和刷新规则
塔防战场	目标信息与血条	目标模型预览、信息面板和世界空间生命条	已实现	P1	阶段4：塔防战场	08/14-08/20	补目标切换与对象销毁处理
塔防战场	战斗统计	伤害、击杀、波次、资源等局内统计	已实现	P1	阶段4：塔防战场	08/14-08/20	补统计口径和重开清零规则
塔防战场	结算系统	胜负结果、统计汇总、奖励计算和弹窗展示	基础可用	P0	阶段4：塔防战场	08/14-08/20	奖励可计算与显示
塔防战场	奖励回写	把BattleSettlementReward.OuterItemMap写回长期ItemManager	待开发	P0	阶段4：塔防战场	08/14-08/20	当前关键闭环缺口，必须优先完成
塔防战场	重开下一关与返回	重新加载、加载下一关、退出战斗并恢复经营模式	已实现	P0	阶段4：塔防战场	08/14-08/20	补资源释放和重复订阅检查
塔防战场	战斗小地图	显示路线、敌人、塔和关键目标	待开发/禁用	P2	阶段4：塔防战场	08/14-08/20	MiniMap面板当前禁用
塔防战场	战斗配置与资源校验	地图、波次、敌人、塔、技能、物品、预制体和本地化完整性	部分实现	P0	阶段4：塔防战场	08/14-08/20	补战斗物品与缺失NPC预制体验证
塔防战场	战斗测试与验收	流程、波次、建塔、技能、结算、重开和返回的自动化与手工验收	部分实现	P0	阶段5：工具与验收	08/21-08/25	已有测试程序集，但Unity Test Runner尚需实际执行
编辑器与工具	世界/战场地图编辑器	地图绘制、对象配置、世界图和战场图编辑	已实现	P1	阶段5：工具与验收	08/21-08/25	补标准操作流程和常见错误
编辑器与工具	地图校验与导出	地图合法性检查、JSON服务、场景导出和运行时数据生成	已实现	P0	阶段5：工具与验收	08/21-08/25	补校验规则清单
编辑器与工具	Luban数据工具链	Excel表维护、代码和数据生成、运行时资源更新	已实现	P0	阶段5：工具与验收	08/21-08/25	补改表到运行验证的完整流程
编辑器与工具	配置校验器	世界配置、资源引用、ID关系和字段合法性校验	基础可用	P1	阶段5：工具与验收	08/21-08/25	扩大跨表与资源引用校验
编辑器与工具	Ability工作台	Ability配置验证、预览、绑定和项目级检查	基础可用	P1	阶段5：工具与验收	08/21-08/25	补JSON业务加载和更完整的项目验证
编辑器与工具	Prefab绑定工具	世界菜单、本地化、战斗UI、Tooltip等预制体自动绑定	已实现	P2	阶段5：工具与验收	08/21-08/25	补幂等性和资源丢失提示
编辑器与工具	GM与调试工具	测试资源、跳转状态、日志、运行时诊断和问题复现	基础可用	P2	阶段5：工具与验收	08/21-08/25	整理命令表和使用环境
编辑器与工具	美术辅助工具	地块、网格、Blender和原型资源生成工具	基础可用	P2	阶段5：工具与验收	08/21-08/25	补输入输出目录和版本依赖
编辑器与工具	测试与构建	.NET编译检查、Unity EditMode/PlayMode测试和发布前回归	基础可用	P0	阶段5：工具与验收	08/21-08/25	当前dotnet build为0警告0错误，仍需Unity内运行测试
总体	文档总审与发布	统一术语、交叉链接、代码入口、配置表、流程图、验收项和遗留问题	待执行	P0	阶段6：总审发布	08/26-08/27	形成可持续维护的开发文档目录
